,timestamp,location,tweet,username,all_hashtags,followers_count
81,2022-01-08 09:56:25+00:00,,"b"" is the ag concerned any new gop majority in '23 would use this as pretext to impeach biden? mistake.""",b'DocMcMonagle',[],359
82,2022-01-08 09:56:23+00:00,"Right here, right now","b_jordan economy is booming, the war was ended badly by trump, our allies hated trump - they laughed at him, infrastructure week happened, russia has dirty energy",b'Dangerangel',[],2744
83,2022-01-08 09:56:15+00:00,"England, United Kingdom",b'remarkable to think just how much biden has fucked up in his first 12 months\xe2\x80\xa6  joe biden was meant to unite america \xe2\x80\x93 but it\xe2\x80\x99s more divided than ever ,b'Gin_Not_Sling',[],911
84,2022-01-08 09:56:14+00:00,,b'white house bragging about biden job gains draws social-media\xc2\xa0backlash ,b'MisterMikeFrost',[],4018
85,2022-01-08 09:56:08+00:00,,bbiden and schumer are *not* putting in the work on voting rights,b'Midbymidwest10',[],144
86,2022-01-08 09:56:07+00:00,,"b""  that's his unit measure at a glance of his support",b'USA_ITALIAN',[],0
87,2022-01-08 09:55:58+00:00,United Kingdom,b'biden comforts families in fire-devastated colorado | the guardian nigeria\xc2\xa0news ,b'NaijameritNG',[],872
88,2022-01-08 09:55:57+00:00,,bbiden is not doing enough for the american people,b'elizabethchavo3',[],0
89,2022-01-08 09:55:56+00:00,THE HEARTLAND,"b""the biden administration really is pursuing a targeted cull of certain segments of the population they find undesirable, and they can't even resist going on tv to celebrate the results",b'RepublicanDalek',[],6949
90,2022-01-08 09:55:53+00:00,,"b""_witness _mcgrody  and yet trump still managed to become a billionaire",b'dunn_ddunn',[],85
91,2022-01-08 09:55:53+00:00,Tx,"b""_resistor y'all really need to get over the idea that everybody who showed up that day was there to break the law",b'JanaUC',[],358
92,2022-01-08 09:55:51+00:00,,"bif they made chicken that smelled like kids, both cnn and biden would be happy.'",b'mydogssmarter',[],31
93,2022-01-08 09:55:33+00:00,"Minneapolis-St.Paul, MN",bamazing news: the biden boom is on pace for the greatest economic growth since jfk -  55 years ago:   biden:   6,b'GJohnsonEsq',[],1061
94,2022-01-08 09:55:32+00:00,"Georgia, USA",bdid i vote for biden? yep,b'caffeineandsalt',[],9
95,2022-01-08 09:55:30+00:00,,"b""my mom's friend works at the local medical center and lately her entire job has been swabbing schoolchildren",b'aquariansun156',[],113
96,2022-01-08 09:55:28+00:00,,b& we didn\xe2\x80\x99t have a real president until president biden won the election\xe2\x80\xa6\xe2\x9c\x85',b'abzgla',[],3528
97,2022-01-08 09:55:28+00:00,,bhe did not lost,b'Americanpinoy1',[],221
98,2022-01-08 09:55:24+00:00,,b_does_math   omicron is also a virus seen more in vaccinated,b'Vladamir_Biden',[],3
99,2022-01-08 09:55:18+00:00,Panama,b'sounds kind of like the aristocratic franklin d,b'ThePanamaNews',[],1313
