timestamp,location,tweet_text,username,all_hashtags,followers_count
2021-12-18 10:35:13+00:00,Sydney,"b'@SandyRendel I agree. I know everyone\xe2\x80\x99s fed up with the whole #covid thing, but that is mixed with a real concern about the increasing number of people who\xe2\x80\x99re getting sick. Obviously the medical advice has not been followed. It is a political decision and there will be political consequences.'",b'Boeufblogginon',['covid'],7822
2021-12-18 10:34:20+00:00,India,"b'SAGINAW, Mich. \xe2\x80\x94 At the most sensible flooring of the health facility, within the unit that homes the sickest Covid-19 sufferers, 13 of the 14 beds had been occupied. In the only empty room, an individual had simply died.  #Constant #covid #crisis  https://t.co/O0YCEF29L6 https://t.co/DV7t91IxeA'",b'theprimehour',"['Constant', 'covid', 'crisis']",6
2021-12-18 10:34:16+00:00,Scotland,b'@Fionasstalker What increase in #covid cases do the experts estimate will be the effect of continuing with the @ScottishFA @spfl football games this weekend? And as a result are we likely to see restrictions on New Year celebrations?',b'StephenSatCisco',['covid'],837
2021-12-18 10:34:01+00:00,Sydney,b'This isn\xe2\x80\x99t the time for politics. Our new premier needs to step up on restrictions again. Start with Sydney masks and QR codes. Otherwise we are doomed #Covid_19 #covid',b'_maharris',"['Covid_19', 'covid']",765
2021-12-18 10:33:26+00:00,EU/EDI/IST/SJJ,b'Asked wombo for some art to commemorate my #COVID booster.  No walk ins at #EH6 #LEITH Gt Junction St until Tuesday.   Walk ins at Community Treatment centre had queue of 80 or so at 10 am. https://t.co/nbSBni58Jf',b'Andy8chi',"['COVID', 'EH6', 'LEITH']",2019
2021-12-18 10:33:15+00:00,London,"b""@benclatworthy #France has got le hump again!   Own up, whoever's been playing silly buggers, by referring to the #COVID variant as OMacron!  https://t.co/V0QxLbJhiH""",b'KenBromfield1',"['France', 'COVID']",2835
2021-12-18 10:32:33+00:00,Göteborg,b'Vaccine Mandate BLOCKED In Texas https://t.co/RtQZs4XpFY #covid-19 #texas #VaccineMandates',b'jsonstorp',"['covid', 'texas', 'VaccineMandates']",301
2021-12-18 10:32:11+00:00,London,"b""@K74Marti #France has got le hump again!   Own up, whoever's been playing silly buggers, by referring to the #COVID variant as OMacron?  https://t.co/V0QxLbJhiH""",b'KenBromfield1',"['France', 'COVID']",2835
2021-12-18 10:32:04+00:00,"London, England",b'Christmas in the workhouse \xf0\x9f\xa5\xb2 fuck covid #covid https://t.co/lCirdB4EE8',b'molliemacks',['covid'],1307
2021-12-18 10:30:03+00:00,Derbyshire,"b'If you have already had your #Covid-19 booster, please encourage your family and friends to get boosted.   Book online: https://t.co/eIDRayqpoB  #GetBoosted #VaccinateDerbyshire https://t.co/N5co4pWH6A'",b'DCHStrust',"['Covid', 'GetBoosted', 'VaccinateDerbyshire']",6057
2021-12-18 10:30:02+00:00,"Denver, CO",b'The #vaccine rule for private #employers is separate from other vaccine #mandates announced by the #Biden administration that apply to #federal #government contractors and workers in #health care facilities  https://t.co/GAjBAj3Bno #news #covid #politics',b'DenverGazette',"['vaccine', 'employers', 'mandates', 'Biden', 'federal', 'government', 'health', 'news', 'covid', 'politics']",2072
2021-12-18 10:29:42+00:00,,"b'Pre-Flight COVID Testing A DIZZYING MESS? Let @MDabroad Help You Wade Through With Our ""Booking Concierge\xe2\x80\x9d Service https://t.co/fOSwSWSmv0 #travel #COVID #COVIDtesting #PcrTest #Delta #businesstravelers #travelinsurance #hotels #airbnb #cybersecurity #medtech #JandJ #Japan #jabs https://t.co/BZLieDySzS'",b'MDamericas',"['travel', 'COVID', 'COVIDtesting', 'PcrTest', 'Delta', 'businesstravelers', 'travelinsurance', 'hotels', 'airbnb', 'cybersecurity', 'medtech', 'JandJ', 'Japan', 'jabs']",183
2021-12-18 10:27:35+00:00,Portugal,b'Yesssss. Marta is vaccinated. #covid #COVID19 #pfizer \xf0\x9f\x98\x84',b'edwaves',"['covid', 'COVID19', 'pfizer']",6739
2021-12-18 10:27:33+00:00,Scotland,"b""Don't the Tory Grandees know that the damage has been done &amp; Boris is now a liability not an asset? Even if he didn't break the law, activities in No 10 and in many govt offices shows they couldn't weren't prepared to make the sacrifices we were all making #covid #BorisMustGo""",b'tartanmog',"['covid', 'BorisMustGo']",3290
2021-12-18 10:27:22+00:00,Sydney,"b'Oh dear some ""baffled epidemiologists"" drive the #Covid19 mass psychosis wanting to mandate proven ineffective mask wearing Wake up you #Covid cultist fools if vaccines don\'t work your really think a surgical mask will  https://t.co/PASZ2fmDn6'",b'escalatorover',"['Covid19', 'Covid']",1845
2021-12-18 10:27:19+00:00,"iPhone: 53.297722,-2.715775",b'https://t.co/LZIJLzazwW | reminds me of the last 2years #covid',b'michaelblythe',['covid'],348
2021-12-18 10:26:51+00:00,London,"b""#NHS warning of logistical difficulties should Omicron #Covid hospital admissions surge. Coincides with chancellor Rishi Sunak's trip to California where he is said to have met US healthcare chiefs. Call me suspicious but...""",b'OutsideLeft',"['NHS', 'Covid']",681
2021-12-18 10:25:49+00:00,Newcastle upon tyne,"b""Time for a beer in whitby, let's hope omicron isn't out yet #covid #boosterboosterbooster""",b'__Brinky__',"['covid', 'boosterboosterbooster']",243
2021-12-18 10:25:30+00:00,"Melbourne, Victoria",b'Got my #booster yesterday and today have been totally wiped out with a fever and body aches. Would rather go through this ten times over than have #Covid_19 . Thanks to our neighbours @TheRMH for fitting me in #getboostedifyoucan #CovidVaccine #COVID #COVID19Vic',b'lejjel',"['booster', 'Covid_19', 'getboostedifyoucan', 'CovidVaccine', 'COVID', 'COVID19Vic']",37
2021-12-18 10:25:10+00:00,East Coast 🎆,"b'Day 10: I\xe2\x80\x99m grateful for getting the best care possible for Hannah in the ER tonight #pneumonia #covid   PS, please join in if you want to share something you\xe2\x80\x99re grateful for, no matter how big or small #30DaysOfGratefulness #gratitude'",b'iamc',"['pneumonia', 'covid', '30DaysOfGratefulness', 'gratitude']",1118
2021-12-18 10:23:51+00:00,London,"b""#France has got le hump again!  Come clean; who's been playing silly buggers, by referring to the #COVID variant as OMacron?  https://t.co/qsXHUu5KSE""",b'KenBromfield1',"['France', 'COVID']",2835
2021-12-18 10:23:41+00:00,"Florida, USA","b'2/2 Same #Covid_19 positive patient: Grandson sat in the room with her even though I informed him she is #COVID positive. He served her food, water, asked me for help whenever he needed anything in throughout the night.  Glad to see #humanity is alive \xf0\x9f\x99\x8f   #medtwitter'",b'MortiMonk',"['Covid_19', 'COVID', 'humanity', 'medtwitter']",12
2021-12-18 10:23:22+00:00,Global,"b'#Covid - #Omicron   Denmark, Ireland, Netherlands cinemas Closing from Today.  #UK Cinemas are going to close after Christmas for 2 weeks.'",b'Overseasrights',"['Covid', 'Omicron', 'UK']",8002
2021-12-18 10:23:19+00:00,UK,"b'@gavinjohnadams I am triple vaxxed, wear a mask etc etc and have vaccinated hundreds but I will not be locked down again to protect all the antivaxxers overwhelming the NHS. #lockdown #Unvaccinated #covid #omicron'",b'VeryanG',"['lockdown', 'Unvaccinated', 'covid', 'omicron']",196
2021-12-18 10:23:06+00:00,Spain,b'@anthea_bailey @FensecLtd Because Boris Johnson always sticks to the Spirit of the Law (generally Whisky)... that HE wrote. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\xb3  #Covid https://t.co/Ki84HMu72u',b'RichardScribbl1',['Covid'],1743
2021-12-18 10:23:00+00:00,Southern Hemisphere,"b'We need to keep shouting this, esp to all those dimwits in NSW who believe @GladysB handles #Covid. She is responsible for #Delta spread across Aus https://t.co/Z8J4mKy65W'",b'vianhazxeed',"['Covid', 'Delta']",374
2021-12-18 10:22:53+00:00,How did that happen! Aged 72,"b'#COVID-19: Officials drawing up plans for two-week post-Christmas lockdown over Omicron threat, reports say https://t.co/TzTjVFXG69'",b'MarkWallaceGlos',['COVID'],1856
